Article_ID,Instance_ID,Objective,Iterations,Without_SPSC,Time,With_SPSC,Time_
Malheiros2021,a3-30hetARX,MIN,10,494.85,0.13,494.85,1.18
Malheiros2021,a3-36hetARX,MIN,10,583.23,0.38,583.19,1.74
Malheiros2021,a4-40hetARX,MIN,10,558.4,0.55,557.69,2.19
Malheiros2021,a4-48hetARX,MIN,10,669.03,2.2,668.82,4.63
Malheiros2021,a5-50hetARX,MIN,10,686.77,2.84,686.62,5.63
Malheiros2021,a5-60hetARX,MIN,10,808.42,4.46,808.42,7.61
Malheiros2021,a6-60hetARX,MIN,10,819.25,5.42,819.25,9.64
Malheiros2021,a6-72hetARX,MIN,10,916.83,10.78,916.24,17.32
Malheiros2021,a7-70hetARX,MIN,10,889.47,8.92,889.12,13.51
Malheiros2021,a7-84hetARX,MIN,10,1034.93,16.39,1033.66,23.68
Malheiros2021,a8-80hetARX,MIN,10,946.19,15.99,945.73,22.7
Malheiros2021,a8-96hetARX,MIN,10,1233.13,25.19,1229.67,35.67
Malheiros2021,a3-30hetESX,MIN,10,500.58,0.14,500.58,1.15
Malheiros2021,a3-36hetESX,MIN,10,583.19,0.28,583.19,1.53
Malheiros2021,a4-40hetESX,MIN,10,580.42,0.51,580.42,2.23
Malheiros2021,a4-48hetESX,MIN,10,670.58,1.76,670.52,4.41
Malheiros2021,a5-50hetESX,MIN,10,693.78,2.2,693.77,4.52
Malheiros2021,a5-60hetESX,MIN,10,828.95,3.32,828.9,7.03
Malheiros2021,a6-60hetESX,MIN,10,847.58,7.03,847.58,11.27
Malheiros2021,a6-72hetESX,MIN,10,949.81,11.02,949.35,16.47
Malheiros2021,a7-70hetESX,MIN,10,946.63,8.69,946.32,13.5
Malheiros2021,a7-84hetESX,MIN,10,1093.77,17.44,1093.07,26.23
Malheiros2021,a8-80hetESX,MIN,10,982.79,10.25,982.71,17.12
Malheiros2021,a8-96hetESX,MIN,10,1267.44,26.36,1265.74,38.03
Malheiros2021,a3-30hetIUY,MIN,10,494.85,0.11,494.85,1.03
Malheiros2021,a3-36hetIUY,MIN,10,618.34,2.67,618.15,3.8
Malheiros2021,a4-40hetIUY,MIN,10,558.19,0.62,557.69,2.06
Malheiros2021,a4-48hetIUY,MIN,10,670.72,2.38,670.72,4.87
Malheiros2021,a5-50hetIUY,MIN,10,691.37,3.02,690.99,5.37
Malheiros2021,a5-60hetIUY,MIN,10,816.15,3.95,816.15,6.84
Malheiros2021,a6-60hetIUY,MIN,10,829.24,6.44,829.23,9.99
Malheiros2021,a6-72hetIUY,MIN,10,940.63,10.34,938.46,14.94
Malheiros2021,a7-70hetIUY,MIN,10,926.64,9.76,925.64,13.53
Malheiros2021,a7-84hetIUY,MIN,10,1037.88,16.03,1037.04,23.01
Malheiros2021,a8-80hetIUY,MIN,10,970.84,14.23,969.6,20.75
Malheiros2021,a8-96hetIUY,MIN,10,1239.66,22.51,1237.97,32.3
Malheiros2021_MD,a3-30hetARX,MIN,10,469.16,0.15,469.16,0.99
Malheiros2021_MD,a3-36hetARX,MIN,10,592.44,0.36,592.42,1.79
Malheiros2021_MD,a4-40hetARX,MIN,10,540.41,0.83,540.34,2.51
Malheiros2021_MD,a4-48hetARX,MIN,10,631.75,2.7,631.75,4.9
Malheiros2021_MD,a5-50hetARX,MIN,10,664.55,3.8,664.55,6.7
Malheiros2021_MD,a5-60hetARX,MIN,10,790.06,6.64,789.9,10.23
Malheiros2021_MD,a6-60hetARX,MIN,10,777.6,7.12,776.68,10.99
Malheiros2021_MD,a6-72hetARX,MIN,10,885.43,12.07,883.78,18.91
Malheiros2021_MD,a7-70hetARX,MIN,10,856.84,10.39,855.04,15.45
Malheiros2021_MD,a7-84hetARX,MIN,10,1011.52,17.68,1007.91,28.1
Malheiros2021_MD,a8-80hetARX,MIN,10,891.95,16.03,889.67,26.14
Malheiros2021_MD,a8-96hetARX,MIN,10,1191.21,22.33,1186.87,42.99
Malheiros2021_MD,a3-30hetESX,MIN,10,471.43,0.17,471.43,1.05
Malheiros2021_MD,a3-36hetESX,MIN,10,593.84,0.33,593.84,1.71
Malheiros2021_MD,a4-40hetESX,MIN,10,562.88,0.61,562.86,2.25
Malheiros2021_MD,a4-48hetESX,MIN,10,633.57,1.97,633.49,4.24
Malheiros2021_MD,a5-50hetESX,MIN,10,674.37,3.24,674.19,5.98
Malheiros2021_MD,a5-60hetESX,MIN,10,814.04,4.89,813.96,8.32
Malheiros2021_MD,a6-60hetESX,MIN,10,802.85,6.76,802.49,10.44
Malheiros2021_MD,a6-72hetESX,MIN,10,917.2,12.02,915.26,18.61
Malheiros2021_MD,a7-70hetESX,MIN,10,912.58,10.55,910.91,16.15
Malheiros2021_MD,a7-84hetESX,MIN,10,1064.28,17.62,1061.46,44.21
Malheiros2021_MD,a8-80hetESX,MIN,10,927.36,15.65,925.98,22.66
Malheiros2021_MD,a8-96hetESX,MIN,10,1224.03,23.33,1220.96,40.6
Malheiros2021_MD,a3-30hetIUY,MIN,10,486.04,0.13,486.04,0.89
Malheiros2021_MD,a3-36hetIUY,MIN,10,627.4,9.39,626.96,10.58
Malheiros2021_MD,a4-40hetIUY,MIN,10,542.7,0.78,542.56,2.13
Malheiros2021_MD,a4-48hetIUY,MIN,10,637.62,2.57,637.58,4.48
Malheiros2021_MD,a5-50hetIUY,MIN,10,669.62,2.96,669.3,4.83
Malheiros2021_MD,a5-60hetIUY,MIN,10,800.24,5.47,800.1,8.47
Malheiros2021_MD,a6-60hetIUY,MIN,10,790.22,5.99,789.4,8.38
Malheiros2021_MD,a6-72hetIUY,MIN,10,914.54,8.5,910.63,12.42
Malheiros2021_MD,a7-70hetIUY,MIN,10,887.81,8.53,885.89,12.9
Malheiros2021_MD,a7-84hetIUY,MIN,10,1015.37,15.55,1013.4,28.55
Malheiros2021_MD,a8-80hetIUY,MIN,10,926.74,13.25,925.1,19.59
Malheiros2021_MD,a8-96hetIUY,MIN,10,1201.68,19.26,1196.22,31.66
Gunawan2021,40-a,MIN,,3623,,3600.4,
Gunawan2021,40-b,MIN,,4601.2,,4601,
Gunawan2021,40-c,MIN,,3539,,3524.7,
Gunawan2021,40-d,MIN,,5056.6,,5038.1,
Gunawan2021,40-e,MIN,,3990.6,,3983.2,
Gunawan2021,40-f,MIN,,4675.7,,4658.4,
Gunawan2021,40-g,MIN,,4696.5,,4695,
Gunawan2021,40-h,MIN,,4802.3,,4802,
Gunawan2021,40-i,MIN,,4037.4,,4037,
Gunawan2021,40-j,MIN,,4030.3,,4016.6,
Gunawan2021,40-k,MIN,,4066,,4015.4,
Gunawan2021,60-a,MIN,,5362,,5357.6,
Gunawan2021,60-b,MIN,,6803.7,,6781.6,
Gunawan2021,60-c,MIN,,7229.8,,7081.2,
Gunawan2021,60-d,MIN,,5336.5,,5331.9,
Gunawan2021,60-e,MIN,,7024.9,,6969,
Gunawan2021,100-a,MIN,,9218.3,,9205.8,
Gunawan2021,100-b,MIN,,10594.1,,10331.1,
Gunawan2021,100-c,MIN,,10554.4,,10468,
Gunawan2021,100-d,MIN,,9972.1,,9958.4,
Gunawan2021,100-e,MIN,,10698.3,,10584.5,
Gunawan2021,200-a,MIN,,18564.6,,18499.7,
Gunawan2021,200-b,MIN,,20653.1,,20510,
Gunawan2021,200-c,MIN,,20202.8,,19912.9,
Gunawan2021,200-d,MIN,,19543.6,,19268.2,
Gunawan2021,200-e,MIN,,20397.3,,19983.1,
Gunawan2021,300-a,MIN,,28512.5,,28416.5,
Gunawan2021,300-b,MIN,,30200.3,,29635.5,
Gunawan2021,300-c,MIN,,29104.1,,28734.1,
Gunawan2021,300-d,MIN,,29461.2,,29366.6,
Gunawan2021,300-e,MIN,,28745.3,,28436.4,
Gunawan2021,Set 4 - 40 nodes,MIN,,4283.5,,4270.2,
Gunawan2021,Set 5 - 60 nodes,MIN,,6351.4,,6304.3,
Gunawan2021,Set 5 - 100 nodes,MIN,,10207.4,,10109.6,
Gunawan2021,Set 7 - 200 nodes,MIN,,19872.3,,19634.8,
Gunawan2021,Set 8 - 300 nodes,MIN,,29204.7,,28917.8,
Groer2010,1,MIN,1,524.61,,524.61,
Groer2010,2,MIN,1,845.05,,842.37,
Groer2010,3,MIN,1,827.39,,827.39,
